,lor,lor1,lor2,lor3,lor4,street_id,street,sub_district,zip_code
337,04400727,04,40,07,27,893,Cunostraße,Schma,14193
341,04400832,04,40,08,32,893,Cunostraße,Schma,14199
343,04400728,04,40,07,28,902,Dachsberg,Grune,14193
345,04500936,04,50,09,36,905,Dahlmannstraße,Charl,10629
347,04100101,04,10,01,01,907,Dahrendorfzeile,CharN,13627
349,04500936,04,50,09,36,913,Damaschkestraße,Charl,10711
350,04500937,04,50,09,37,913,Damaschkestraße,Halen,10711
351,04300413,04,30,04,13,919,Danckelmannstraße,Charl,14059
353,04300414,04,30,04,14,919,Danckelmannstraße,Charl,14059
357,04501043,04,50,10,43,923,Darmstädter Straße,Wilmd,10707
359,04300518,04,30,05,18,926,Darwinstraße,Charl,10589
361,04200207,04,20,02,07,928,Dauerwaldweg,Weste,14055
363,04400830,04,40,08,30,930,Davoser Straße,Schma,14199
365,07300515,07,30,05,15,934,Deidesheimer Straße,Fried,14197
367,04400835,04,40,08,35,934,Deidesheimer Straße,Wilmd,14197
371,04400728,04,40,07,28,938,Delbrückstraße,Grune,14193
372,04400726,04,40,07,26,938,Delbrückstraße,Grune,14193
373,04400727,04,40,07,27,938,Delbrückstraße,Schma,14193
375,04100102,04,10,01,02,943,Delpzeile,CharN,13627
377,04300415,04,30,04,15,950,Dernburgstraße,Charl,14057
379,04501151,04,50,11,51,957,Detmolder Straße,Wilmd,10715
381,04501148,04,50,11,48,957,Detmolder Straße,Wilmd,10713
384,04200205,04,20,02,05,962,Dickensweg,Weste,14055
386,04400832,04,40,08,32,972,Dievenowstraße,Schma,14199
388,06400844,06,40,08,44,975,Dillenburger Straße,Dahle,14199
389,04400834,04,40,08,34,975,Dillenburger Straße,Wilmd,14199
390,04400833,04,40,08,33,975,Dillenburger Straße,Wilmd,14199
391,04400832,04,40,08,32,975,Dillenburger Straße,Wilmd,14199
393,04400832,04,40,08,32,982,Doberaner Straße,Schma,14199
395,04400729,04,40,07,29,1008,Douglasstraße,Grune,14193
397,04300620,04,30,06,20,1009,Dovestraße,Charl,10587
399,04300415,04,30,04,15,1019,Dresselstraße,Charl,14057
401,04500936,04,50,09,36,1028,Droysenstraße,Charl,10629
403,04501043,04,50,10,43,1048,Duisburger Straße,Wilmd,10707
405,04400729,04,40,07,29,1039,Dünkelbergsteig,Schma,14195
407,04501153,04,50,11,53,1049,Durlacher Straße,Wilmd,10715
409,04501045,04,50,10,45,1046,Düsseldorfer Straße,Wilmd,10719
411,04501044,04,50,10,44,1046,Düsseldorfer Straße,Wilmd,10719
413,04501044,04,50,10,44,1046,Düsseldorfer Straße,Wilmd,10707
415,04501043,04,50,10,43,1046,Düsseldorfer Straße,Wilmd,10707
422,04400834,04,40,08,34,1051,Eberbacher Straße,Wilmd,14197
424,04200308,04,20,03,08,1052,Ebereschenallee,Weste,14050
426,04400727,04,40,07,27,1072,Egerstraße,Schma,14193
428,04200308,04,20,03,08,1085,Eichenallee,Weste,14050
430,04200309,04,20,03,09,1085,Eichenallee,Weste,14050
432,04400729,04,40,07,29,5550,Eichhörnchensteig,Grune,14193
433,04200207,04,20,02,07,1092,Eichkampstraße,Weste,14055
435,04400725,04,40,07,25,1092,Eichkampstraße,Grune,14055
436,04400729,04,40,07,29,1092,Eichkampstraße,Grune,14055
437,04200207,04,20,02,07,1092,Eichkampstraße,Grune,14055
438,04200207,04,20,02,07,1092,Eichkampstraße,Grune,14193
439,04200207,04,20,02,07,1093,Eichkatzweg,Weste,14055
441,04300622,04,30,06,22,1102,Einsteinufer,Charl,10587
443,04500938,04,50,09,38,1110,Eisenzahnstraße,Wilmd,10709
445,04500939,04,50,09,39,1110,Eisenzahnstraße,Wilmd,10709
449,04501042,04,50,10,42,1112,Eislebener Straße,Charl,10789
451,04501045,04,50,10,45,1112,Eislebener Straße,Wilmd,10789
453,04400727,04,40,07,27,1125,Elgersburger Straße,Schma,14193
455,04501147,04,50,11,47,6963,Emser Platz,Wilmd,10719
457,04501044,04,50,10,44,6963,Emser Platz,Wilmd,10719
458,04501044,04,50,10,44,1158,Emser Straße,Wilmd,10719
460,04300620,04,30,06,20,1168,Englische Straße,Charl,10587
462,04300619,04,30,06,19,1172,Eosanderstraße,Charl,10587
464,04200311,04,20,03,11,1174,Epiphanienweg,Weste,14059
466,04400726,04,40,07,26,1177,Erbacher Straße,Grune,14193
468,04400726,04,40,07,26,1178,Erdener Straße,Grune,14193
470,04501148,04,50,11,48,1189,Ermslebener Weg,Wilmd,10713
472,04300412,04,30,04,12,1193,Ernst-Bumm-Weg,Charl,14059
474,04300622,04,30,06,22,6965,Ernst-Reuter-Platz,Charl,10587
476,04200308,04,20,03,08,1200,Eschenallee,Weste,14050
478,04200310,04,20,03,10,1200,Eschenallee,Weste,14050
480,04501045,04,50,10,45,1209,Ettaler Straße,Wilmd,10777
481,04300517,04,30,05,17,1219,Fabriciusstraße,Charl,10589
483,04501148,04,50,11,48,1233,Falkensteiner Straße,Wilmd,14199
484,04200207,04,20,02,07,1237,Falterweg,Weste,14055
486,04501045,04,50,10,45,6969,Fasanenplatz,Wilmd,10719
487,04300622,04,30,06,22,1239,Fasanenstraße,Charl,10623
489,04501042,04,50,10,42,1239,Fasanenstraße,Charl,10623
491,04501042,04,50,10,42,1239,Fasanenstraße,Charl,10719
493,04501045,04,50,10,45,1239,Fasanenstraße,Wilmd,10719
501,04501149,04,50,11,49,1242,Fechnerstraße,Wilmd,10717
503,04501147,04,50,11,47,1242,Fechnerstraße,Wilmd,10717
505,04501043,04,50,10,43,6970,Fehrbelliner Platz,Wilmd,10707
506,04501147,04,50,11,47,6970,Fehrbelliner Platz,Wilmd,10707
507,04501146,04,50,11,46,6970,Fehrbelliner Platz,Wilmd,10707
509,04500939,04,50,09,39,6970,Fehrbelliner Platz,Wilmd,10707
512,04400729,04,40,07,29,1290,Fischottersteig,Schma,14195
514,04200205,04,20,02,05,5569,Flatowallee,Weste,14055
516,04400727,04,40,07,27,6972,Flinsberger Platz,Schma,14193
518,04400729,04,40,07,29,1325,Fontanestraße,Grune,14193
519,04400728,04,40,07,28,1325,Fontanestraße,Grune,14193
520,04400830,04,40,08,30,1331,Forckenbeckstraße,Schma,14199
522,04200310,04,20,03,10,1345,Frankenallee,Weste,14052
524,04300620,04,30,06,20,1351,Franklinstraße,Charl,10587
526,04400727,04,40,07,27,1352,Franzensbader Straße,Schma,14193
529,04300622,04,30,06,22,1361,Fraunhoferstraße,Charl,10587
531,04200311,04,20,03,11,1362,Fredericiastraße,Weste,14059
533,04200311,04,20,03,11,1362,Fredericiastraße,Weste,14050
537,04300416,04,30,04,16,1380,Friedbergstraße,Charl,14057
539,04100101,04,10,01,01,1449,Friedrich-Olbricht-Damm,CharN,13627
541,04400830,04,40,08,30,1397,Friedrichshaller Straße,Schma,14199
543,04400832,04,40,08,32,1397,Friedrichshaller Straße,Schma,14199
549,04400727,04,40,07,27,1398,Friedrichsruher Straße,Schma,14193
551,04400729,04,40,07,29,1409,Frischlingsteig,Schma,14195
553,04300414,04,30,04,14,1410,Fritschestraße,Charl,10585
555,04300416,04,30,04,16,1410,Fritschestraße,Charl,10627
559,04400830,04,40,08,30,2830,Fritz-Wildung-Straße,Schma,14199
561,04200308,04,20,03,08,1435,Fürstenbrunner Weg,Weste,14059
563,04300412,04,30,04,12,1435,Fürstenbrunner Weg,Charl,14059
565,04200308,04,20,03,08,1435,Fürstenbrunner Weg,Weste,14050
567,04200310,04,20,03,10,6978,Fürstenplatz,Weste,14052
569,04501045,04,50,10,45,1440,Fürther Straße,Wilmd,10777
571,04400728,04,40,07,28,1448,Furtwänglerstraße,Grune,14193
573,04300517,04,30,05,17,1464,Gallesteig,Charl,10589
574,04300619,04,30,06,19,1468,Galvanistraße,Charl,10587
576,04400726,04,40,07,26,1589,Gneiststraße,Grune,14193
578,04100101,04,10,01,01,6982,Goebelplatz,CharN,13627
579,04100101,04,10,01,01,1591,Goebelstraße,CharN,13627
581,05300839,05,30,08,39,1591,Goebelstraße,Sieme,13629
583,04100102,04,10,01,02,1595,Goerdelerdamm,CharN,13627
584,04300623,04,30,06,23,5514,Goethepark,Charl,10627
586,04300624,04,30,06,24,1605,Goethestraße,Charl,10623
588,04300624,04,30,06,24,1605,Goethestraße,Charl,10625
590,04300623,04,30,06,23,1605,Goethestraße,Charl,10625
596,04400729,04,40,07,29,1615,Goldfinkweg,Schma,14195
598,04300518,04,30,05,18,6984,Goslarer Platz,Charl,10589
600,04300518,04,30,05,18,1632,Goslarer Ufer,Charl,10589
601,04200309,04,20,03,09,1639,Gotha-Allee,Weste,14050
602,04200309,04,20,03,09,1639,Gotha-Allee,Weste,14052
604,04200308,04,20,03,08,1643,Gottfried-Keller-Straße,Weste,14050
605,04400729,04,40,07,29,5633,Gottfried-von-Cramm-Weg,Grune,14193
607,04501045,04,50,10,45,1659,Grainauer Straße,Wilmd,10777
609,04200206,04,20,02,06,5413,Grethe-Weiser-Weg,Weste,14055
611,04400729,04,40,07,29,1688,Griegstraße,Grune,14193
613,04400727,04,40,07,27,6986,Grieser Platz,Schma,14193
614,04300624,04,30,06,24,1704,Grolmanstraße,Charl,10623
616,04501041,04,50,10,41,1704,Grolmanstraße,Charl,10623
620,04300619,04,30,06,19,1741,Guerickestraße,Charl,10587
622,04300622,04,30,06,22,1741,Guerickestraße,Charl,10587
625,04501152,04,50,11,52,1740,Güntzelstraße,Wilmd,10717
627,04501149,04,50,11,49,1740,Güntzelstraße,Wilmd,10717
629,04501147,04,50,11,47,1740,Güntzelstraße,Wilmd,10717
635,04400729,04,40,07,29,1752,Gustav-Freytag-Straße,Grune,14193
637,04300620,04,30,06,20,1758,Gutenbergstraße,Charl,10587
639,04100101,04,10,01,01,1773,Habermannzeile,CharN,13627
641,04100101,04,10,01,01,1782,Haeftenzeile,CharN,13627
643,04200311,04,20,03,11,1786,Haeselerstraße,Weste,14050
645,04400728,04,40,07,28,6993,Hagenplatz,Grune,14193
647,04400729,04,40,07,29,1793,Hagenstraße,Grune,14193
648,04400728,04,40,07,28,1793,Hagenstraße,Grune,14193
649,04500938,04,50,09,38,1800,Halberstädter Straße,Halen,10711
651,04100101,04,10,01,01,1801,Halemweg,CharN,13627
653,04400726,04,40,07,26,1802,Halenseestraße,Grune,10711
654,04500937,04,50,09,37,1802,Halenseestraße,Halen,10711
655,04400725,04,40,07,25,1802,Halenseestraße,Grune,10711
656,04300415,04,30,04,15,1802,Halenseestraße,Weste,14055
657,04200311,04,20,03,11,1802,Halenseestraße,Weste,14055
658,04300620,04,30,06,20,1804,Hallerstraße,Charl,10587
660,04200310,04,20,03,10,1809,Halmstraße,Weste,14050
662,04200311,04,20,03,11,6994,Hammarskjöldplatz,Weste,14055
663,04400831,04,40,08,31,1815,Hammersteinstraße,Schma,14199
665,04400835,04,40,08,35,1818,Hanauer Straße,Wilmd,14197
667,04300620,04,30,06,20,8958,Hannah-Karminski-Straße,Charl,10587
668,04200203,04,20,02,03,5551,Hanns-Braun-Straße,Weste,14053
669,04200207,04,20,02,07,1833,Harbigstraße,Weste,14055
671,04501042,04,50,10,42,6996,Hardenbergplatz,Charl,10623
672,05200633,05,20,06,33,1885,Heerstraße,Wilst,13595
673,05200528,05,20,05,28,1885,Heerstraße,Wilst,13593
674,05200633,05,20,06,33,1885,Heerstraße,Wilst,13593
675,05200527,05,20,05,27,1885,Heerstraße,Wilst,13593
676,05200528,05,20,05,28,1885,Heerstraße,Staak,13593
677,05200527,05,20,05,27,1885,Heerstraße,Staak,13593
678,05200526,05,20,05,26,1885,Heerstraße,Staak,13593
680,05200525,05,20,05,25,1885,Heerstraße,Staak,13593
681,05200524,05,20,05,24,1885,Heerstraße,Staak,13591
682,05200525,05,20,05,25,1885,Heerstraße,Staak,13591
684,05200422,05,20,04,22,1885,Heerstraße,Staak,13591
685,04400834,04,40,08,34,6998,Heidelberger Platz,Wilmd,14197
687,04400835,04,40,08,35,6998,Heidelberger Platz,Wilmd,14197
688,04500937,04,50,09,37,1898,Heilbronner Straße,Halen,10711
690,04400832,04,40,08,32,1900,Heiligendammer Straße,Schma,14199
692,04100101,04,10,01,01,1903,Heilmannring,CharN,13627
694,04200205,04,20,02,05,1904,Heilsberger Allee,Weste,14055
696,04100101,04,10,01,01,1912,Heinickeweg,CharN,13627
698,04300620,04,30,06,20,5679,Heisenbergstraße,Charl,10587
700,04500937,04,50,09,37,1921,Hektorstraße,Halen,10711
702,04400830,04,40,08,30,11225,Helene-Jacobs-Straße,Schma,14199
703,04400832,04,40,08,32,1924,Helgolandstraße,Wilmd,14199
705,04400833,04,40,08,33,1924,Helgolandstraße,Wilmd,14199
707,04300620,04,30,06,20,1929,Helmholtzstraße,Charl,10587
709,04501152,04,50,11,52,1932,Helmstedter Straße,Wilmd,10717
711,04200203,04,20,02,03,1935,Hempelsteig,Weste,14052
712,04300415,04,30,04,15,1942,Herbartstraße,Charl,14057
714,04300620,04,30,06,20,9200,Herbert-Lewin-Platz,Charl,10623
716,04400726,04,40,07,26,1944,Herbertstraße,Grune,14193
718,04300624,04,30,06,24,1948,Herderstraße,Charl,10625
720,04300517,04,30,05,17,1969,Herschelstraße,Charl,10589
721,04400726,04,40,07,26,1974,Herthastraße,Grune,14193
723,04200310,04,20,03,10,1982,Hessenallee,Weste,14052
725,04300412,04,30,04,12,1985,Heubnerweg,Charl,14059
727,04400831,04,40,08,31,1991,Heydenstraße,Schma,14199
729,04400831,04,40,08,31,1991,Heydenstraße,Schma,14195
731,04400726,04,40,07,26,9969,Hilde-Ephraim-Straße,Grune,14193
733,04501151,04,50,11,51,1998,Hildegardstraße,Wilmd,10715
735,04500938,04,50,09,38,7008,Hochmeisterplatz,Halen,10709
737,04100101,04,10,01,01,2040,Hofackerzeile,CharN,13627
739,04501146,04,50,11,46,7009,Hoffmann-von-Fallersleben-Pl.,Wilmd,10713
741,04200206,04,20,02,06,2050,Hohensteinallee,Weste,14055
743,04400835,04,40,08,35,2051,Hohensteiner Straße,Wilmd,14197
745,04501045,04,50,10,45,2052,Hohenzollerndamm,Wilmd,10719
746,04501045,04,50,10,45,2052,Hohenzollerndamm,Wilmd,10717
748,04501044,04,50,10,44,2052,Hohenzollerndamm,Wilmd,10717
750,04501044,04,50,10,44,2052,Hohenzollerndamm,Wilmd,10713
752,04501043,04,50,10,43,2052,Hohenzollerndamm,Wilmd,10713
754,04500939,04,50,09,39,2052,Hohenzollerndamm,Wilmd,10713
756,04500939,04,50,09,39,2052,Hohenzollerndamm,Halen,10713
758,04400727,04,40,07,27,2052,Hohenzollerndamm,Schma,14199
760,04400729,04,40,07,29,2052,Hohenzollerndamm,Grune,14199
762,04400831,04,40,08,31,2052,Hohenzollerndamm,Schma,14199
764,04400830,04,40,08,30,2052,Hohenzollerndamm,Schma,14199
766,04501146,04,50,11,46,2052,Hohenzollerndamm,Wilmd,10713
768,04501147,04,50,11,47,2052,Hohenzollerndamm,Wilmd,10713
769,04501147,04,50,11,47,2052,Hohenzollerndamm,Wilmd,10717
771,04501149,04,50,11,49,2052,Hohenzollerndamm,Wilmd,10717
773,04501149,04,50,11,49,7011,Hohenzollernplatz,Wilmd,10717
774,04400832,04,40,08,32,2059,Hohmannstraße,Schma,14199
776,04400729,04,40,07,29,2033,Höhmannstraße,Grune,14193
778,04200310,04,20,03,10,2035,Hölderlinstraße,Weste,14050
780,04501149,04,50,11,49,2067,Holsteinische Straße,Wilmd,10717
782,04300416,04,30,04,16,2071,Holtzendorffstraße,Charl,14057
784,04400835,04,40,08,35,2081,Homburger Straße,Wilmd,14197
786,04400834,04,40,08,34,2081,Homburger Straße,Wilmd,14197
788,04300414,04,30,04,14,2093,Horstweg,Charl,14059
790,04400726,04,40,07,26,2100,Hubertusallee,Grune,14193
792,04400727,04,40,07,27,2100,Hubertusallee,Grune,14193
793,04400727,04,40,07,27,2100,Hubertusallee,Schma,14193
794,04400728,04,40,07,28,2100,Hubertusallee,Grune,14193
795,04400728,04,40,07,28,2101,Hubertusbader Straße,Grune,14193
797,04400726,04,40,07,26,2120,Humboldtstraße,Grune,14193
799,04400830,04,40,08,30,2125,Hundekehlestraße,Schma,14199
801,04400831,04,40,08,31,2125,Hundekehlestraße,Schma,14199
803,06400844,06,40,08,44,2115,Hüttenweg,Dahle,14195
805,06400842,06,40,08,42,2115,Hüttenweg,Dahle,14195
807,06400842,06,40,08,42,2115,Hüttenweg,Dahle,14193
809,04400729,04,40,07,29,2115,Hüttenweg,Grune,14193
810,04200207,04,20,02,07,2115,Hüttenweg,Grune,14193
811,04100101,04,10,01,01,2116,Hüttigpfad,CharN,13627
812,04300619,04,30,06,19,5307,Iburger Ufer,Charl,10587
